1459476370.42, 4511
1459476370.52, 3950
1459476370.62, 4180
1459476370.72, 4100
1459476370.82, 4084
1459476370.93, 4898
1459476371.03, 4289
1459476371.13, 4021
1459476371.23, 4503
1459476371.33, 3959
1459476371.43, 4468
1459476371.53, 3928
1459476371.63, 3836
1459476371.73, 3957
1459476371.83, 3696
1459476371.93, 3896
1459476372.04, 3896
1459476372.14, 3199
1459476372.24, 4074
1459476372.34, 4328
1459476372.44, 3805
1459476372.54, 4042
1459476372.64, 4294
1459476372.74, 4294
1459476372.85, 4562
1459476372.95, 4260
1459476373.05, 3731
1459476373.15, 3919
1459476373.25, 4163
1459476373.35, 4131
1459476373.45, 4372
1459476373.55, 2491
1459476373.65, 3732
1459476373.75, 3949
1459476373.86, 3949
1459476373.96, 3949
1459476374.06, 4195
1459476374.16, 3767
1459476374.26, 3987
1459476374.36, 4236
1459476374.46, 4203
1459476374.56, 4414
1459476374.66, 3881
1459476374.76, 3866
1459476374.86, 3866
1459476374.97, 4635
1459476375.07, 3821
1459476375.17, 4312
1459476375.27, 3791
1459476375.37, 3555
1459476375.47, 3704
1459476375.57, 3920
1459476375.67, 3660
1459476375.78, 3615
1459476375.88, 4065
1459476375.98, 4319
1459476376.08, 4319
1459476376.18, 4319
1459476376.28, 4303
1459476376.38, 4270
1459476376.48, 3754
1459476376.58, 3973
1459476376.68, 3023
1459476376.79, 4330
1459476376.89, 4313
1459476376.99, 4044
1459476377.09, 4296
1459476377.19, 4296
1459476377.29, 4296
1459476377.39, 4028
1459476377.49, 4262
1459476377.59, 3980
1459476377.69, 4492
1459476377.79, 4492
1459476377.9, 3949
1459476378.0, 3918
1459476378.1, 3418
1459476378.2, 4002
1459476378.3, 4252
1459476378.4, 3738
1459476378.51, 3709
1459476378.61, 4120
1459476378.71, 4120
1459476378.81, 4104
1459476378.91, 4072
1459476379.01, 4072
1459476379.11, 4056
1459476379.21, 4008
1459476379.31, 4241
1459476379.41, 4224
1459476379.51, 4175
1459476379.62, 3671
1459476379.72, 4143
1459476379.82, 4127
1459476379.92, 3870
1459476380.02, 3855
1459476380.12, 3840
1459476380.22, 3825
1459476380.32, 2944
1459476380.43, 3272
1459476380.53, 4168
1459476380.63, 3893
1459476380.73, 4394
1459476380.83, 3774
1459476380.93, 4259
1459476381.03, 3993
1459476381.13, 3744
1459476381.23, 3729
1459476381.33, 3715
1459476381.43, 3701
1459476381.54, 3254
1459476381.64, 3887
1459476381.74, 3645
1459476381.84, 3645
1459476381.94, 3418
1459476382.04, 3631
1459476382.14, 3843
1459476382.24, 3378
1459476382.34, 3589
1459476382.44, 3589
1459476382.54, 3813
1459476382.65, 3813
1459476382.75, 3575
1459476382.85, 3798
1459476382.95, 4035
1459476383.05, 4019
1459476383.15, 4019
1459476383.25, 3768
1459476383.36, 3533
1459476383.46, 3723
1459476383.56, 3939
1459476383.66, 4137
1459476383.76, 3879
1459476383.86, 3864
1459476383.96, 4105
1459476384.06, 4105
1459476384.16, 4105
1459476384.26, 4073
1459476384.36, 4073
1459476384.47, 3819
1459476384.57, 4057
1459476384.67, 4310
1459476384.77, 4041
1459476384.87, 3775
1459476384.97, 4010
1459476385.07, 4260
1459476385.17, 3979
1459476385.27, 4227
1459476385.37, 4227
1459476385.48, 3948
1459476385.58, 3948
1459476385.68, 4194
1459476385.78, 4194
1459476385.88, 4194
1459476385.98, 3932
1459476386.08, 3917
1459476386.18, 3901
1459476386.29, 4403
1459476386.39, 4128
1459476386.49, 4386
1459476386.59, 4112
1459476386.69, 4112
1459476386.79, 4642
1459476386.89, 4932
1459476386.99, 4065
1459476387.09, 4302
1459476387.19, 4570
1459476387.29, 4570
1459476387.4, 4268
1459476387.5, 2888
1459476387.6, 4666
1459476387.7, 4358
1459476387.8, 4341
1459476387.9, 3771
1459476388.0, 3991
1459476388.1, 4505
1459476388.21, 4488
1459476388.31, 3945
